"","FINAL.mud","FINAL.rho","FINAL..LRT.pval.","FINAL.delta1","HM","DL","BA","FINAL.delta2","LI","FINAL.delta3","HE1","HE2"
"92",0.65,-0.2,0.002794728,0.130084444,"O","O","O",0.128104839,"O",0.135625765,"X","X"
"93",0.65,-0.1,0.005702625,0.125554445,"O","O","O",0.123644922,"O",0.134289735,"X","X"
"94",0.65,0,0.007849598,0.121404444,"O","O","O",0.119175778,"O",0.133815521,"X","X"
"95",0.65,0.1,0.015289326,0.114203333,"O","O","O",0.113473011,"O",0.133727319,"X","X"
"96",0.65,0.2,0.021532774,0.114044445,"O","O","O",0.112339656,"O",0.140416614,"X","X"
"97",0.65,0.3,0.028245369,0.111284444,"O","O","O",0.110689596,"O",0.144763822,"X","X"
"98",0.65,0.4,0.039713867,0.109186667,"O","O","O",0.107381059,"O",0.149528885,"X","X"
"99",0.65,0.5,0.043379322,0.105442222,"O","O","O",0.10501772,"O",0.157670645,"X","X"
"100",0.65,0.6,0.044101351,0.106318889,"O","O","O",0.104907977,"O",0.157976019,"X","X"
"101",0.65,0.7,0.057235759,0.102822222,"O","O","O",0.102937324,"O",0.151131033,"X","X"
"102",0.65,0.8,0.06712179,0.106451111,"O","O","O",0.105205596,"O",0.129676931,"X","X"
