,mud,rho,l_r,l_f,-2l_r,-2l_f,-2(l_r-l_f),pval
78,0.6,0.1,-39.21088192,-36.60814806,78.42176385,73.21629612,5.205467728,0.022515956
79,0.6,0.2,-39.20555732,-36.80571264,78.41111464,73.61142529,4.799689354,0.028464869
80,0.6,0.3,-39.30961116,-37.26480589,78.61922233,74.52961178,4.08961055,0.043147583
81,0.6,0.4,-39.34087742,-37.47523147,78.68175483,74.95046295,3.731291885,0.053402075
82,0.6,0.5,-39.19180521,-37.51751306,78.38361043,75.03502611,3.348584317,0.067262838
83,0.6,0.6,-39.25331062,-37.68010934,78.50662124,75.36021867,3.146402569,0.076094553
84,0.6,0.7,-39.11357465,-37.77465975,78.2271493,75.54931949,2.677829814,0.101754311
85,0.6,0.8,-39.23377009,-37.95288335,78.46754018,75.9057667,2.561773472,0.109475712
86,0.65,-0.8,-39.24010546,-22.63751851,78.48021092,45.27503702,33.2051739,8.29E-09
87,0.65,-0.7,-39.23033715,-27.24772417,78.46067431,54.49544834,23.96522597,9.81E-07
88,0.65,-0.6,-39.24011366,-30.02194317,78.48022732,60.04388634,18.43634098,1.76E-05
89,0.65,-0.5,-39.30881516,-31.92118323,78.61763033,63.84236645,14.77526387,0.000121114
90,0.65,-0.4,-39.16743807,-32.97086682,78.33487614,65.94173363,12.39314251,0.000430913
91,0.65,-0.3,-39.15209858,-33.82970071,78.30419717,67.65940142,10.64479575,0.001103811
92,0.65,-0.2,-39.31747763,-34.84904789,78.63495527,69.69809577,8.936859494,0.002794728
93,0.65,-0.1,-39.26897347,-35.44799863,78.53794695,70.89599727,7.64194968,0.005702625
94,0.65,0,-39.16747399,-35.63373853,78.33494798,71.26747706,7.067470923,0.007849598
95,0.65,0.1,-39.27726741,-36.33585802,78.55453482,72.67171605,5.88281877,0.015289326
96,0.65,0.2,-39.25808454,-36.61651022,78.51616908,73.23302044,5.283148648,0.021532774
97,0.65,0.3,-39.16173902,-36.7552249,78.32347804,73.5104498,4.813028232,0.028245369
98,0.65,0.4,-39.20650059,-37.09146696,78.41300118,74.18293391,4.230067264,0.039713867
99,0.65,0.5,-39.23896721,-37.19868803,78.47793443,74.39737606,4.080558362,0.043379322
100,0.65,0.6,-39.2297297,-37.20339109,78.45945941,74.40678218,4.05267723,0.044101351
101,0.65,0.7,-39.23917292,-37.43131026,78.47834583,74.86262052,3.615725314,0.057235759
102,0.65,0.8,-39.17879745,-37.50277755,78.3575949,75.0055551,3.352039801,0.06712179
